[INFO] [2023-08-01 10:54:37,954] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 10:54:37,992] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 10:54:39,181] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 10:54:39,212] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 10:54:39,212] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 10:55:11,695] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 10:55:11,726] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 10:55:13,045] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 10:55:13,092] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 10:55:13,092] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 10:56:42,755] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 10:56:42,786] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 10:56:44,110] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 10:56:44,141] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 10:56:44,141] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 10:56:44,207] [CleanUp1]: Archivo               bpin  ... ano_fin
0    2018193550017  ...    2018
1    2019683220010  ...    2019
2    2018254070025  ...    2019
3    2020154250127  ...    2020
4    2018184100024  ...    2018
..             ...  ...     ...
995  2021522100013  ...    2021
996  2020732170025  ...    2020
997  2018410010008  ...    2018
998  2021702210065  ...    2021
999  2021860010118  ...    2022

[1000 rows x 18 columns] se ha limpiado con éxito
[INFO] [2023-08-01 10:58:28,522] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 10:58:28,553] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 10:58:29,860] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 10:58:29,891] [Extractor]: Archivo datos_contratos.json convertido a df
